Localitate,Judet,Comuna,KM
Sotrile,Prahova,Sotrile,54
Vistieru,Prahova,Sotrile,51
Bradet,Prahova,Starchiojd,54
Gresia,Prahova,Starchiojd,56
Rotarea,Prahova,Starchiojd,53
Starchiojd,Prahova,Starchiojd,52
Valea Anei,Prahova,Starchiojd,53
Zmeuret,Prahova,Starchiojd,55
Plaiu,Prahova,Talea,56
Talea,Prahova,Talea,58
Melicesti,Prahova,Telega,42.2
Ghinoaica,Prahova,Vadu Sapat,40.7
Vadu Sapat,Prahova,Vadu Sapat,40
Trestioara,Prahova,Valcanesti,30.9
Valcanesti,Prahova,Valcanesti,27.5
Traisteni,Prahova,Valea Doftanei,65
Almasu,Salaj,Almasu,47
Jebucu,Salaj,Almasu,56
Mesteacanu,Salaj,Almasu,57
Petrinzel,Salaj,Almasu,62
Sfaras,Salaj,Almasu,55
Stana,Salaj,Almasu,59
Taudu,Salaj,Almasu,55
Clit,Salaj,Babeni,43
Pirosa,Salaj,Babeni,48
Ban,Salaj,Banisor,40
Banisor,Salaj,Banisor,37
Peceiu,Salaj,Banisor,35
Zalnoc,Salaj,Bobota,50
Boghis,Salaj,Boghis,48
Bozies,Salaj,Boghis,47
Huta,Salaj,Buciumi,88.3
Camar,Salaj,Camar,51
Cristolt,Salaj,Cristolt,46
Poiana Ontii,Salaj,Cristolt,49
Valeni,Salaj,Cristolt,46
Cuzaplac,Salaj,Cuzaplac,45
Galaseni,Salaj,Cuzaplac,51
Mierta,Salaj,Cuzaplac,42
Petrindu,Salaj,Cuzaplac,47
Ruginoasa,Salaj,Cuzaplac,48
Tamasa,Salaj,Cuzaplac,46
Dragu,Salaj,Dragu,45
Ugrutiu,Salaj,Dragu,47.9
Voivodeni,Salaj,Dragu,57
Fildu de Jos,Salaj,Fildu de jos,54
Fildu de Mijloc,Salaj,Fildu de jos,56
Fildu de Sus,Salaj,Fildu de jos,57
Tetisu,Salaj,Fildu de jos,56
Chizeni,Salaj,Galgau,73.3
Bezded,Salaj,Garbou,52
Calacea,Salaj,Garbou,49.1
Cernuc,Salaj,Garbou,51
Garbou,Salaj,Garbou,50
Popteleac,Salaj,Garbou,45.7
Solomon,Salaj,Garbou,49
Aleus,Salaj,Halmasd,45.6
Cerisa,Salaj,Halmasd,53
Drighiu,Salaj,Halmasd,40
Fufez,Salaj,Halmasd,53
Halmasd,Salaj,Halmasd,35
Miluani,Salaj,Hida,56
Paduris,Salaj,Hida,59
Stupini,Salaj,Hida,43.3
Hurez,Salaj,Horoatu Crasnei,72.2
Seredeiu,Salaj,Horoatu Crasnei,31
Starciu,Salaj,Horoatu Crasnei,29.8
Bizusa-Bai,Salaj,Ileanda,45
Dolheni,Salaj,Ileanda,57
Luminisu,Salaj,Ileanda,49
Maleni,Salaj,Ileanda,56
Negreni,Salaj,Ileanda,48
Perii Vadului,Salaj,Ileanda,50
Podisu,Salaj,Ileanda,45
Rastoci,Salaj,Ileanda,57
Rogna,Salaj,Ileanda,47
Sasa,Salaj,Ileanda,51
Cosniciu de Jos,Salaj,Ip,49.1
Cosniciu de Sus,Salaj,Ip,52
Ip,Salaj,Ip,43
Zauan,Salaj,Ip,41.5
Zauan-Bai,Salaj,Ip,52
Ciula,Salaj,Letca,51
Cozla,Salaj,Letca,54
Lemniu,Salaj,Letca,53
Letca,Salaj,Letca,50
Purcaret,Salaj,Letca,53
Soimuseni,Salaj,Letca,47
Toplita,Salaj,Letca,53
Valisoara,Salaj,Letca,55
Cormenis,Salaj,Lozna,54
Lozna,Salaj,Lozna,51
Preluci,Salaj,Lozna,53
Valea Lesului,Salaj,Lozna,53
Valea Loznei,Salaj,Lozna,56
Lesmir,Salaj,Marca,54
Marca,Salaj,Marca,53
Marca-Huta,Salaj,Marca,66
Port,Salaj,Marca,51
Sumal,Salaj,Marca,57
Cheud,Salaj,Napradea,42.7
Bilghez,Salaj,Nusfalau,50
Nusfalau,Salaj,Nusfalau,45
Fagetu,Salaj,Plopis,54.8
Iaz,Salaj,Plopis,46
Plopis,Salaj,Plopis,40
Gostila,Salaj,Poiana Blenchii,88.8
Magura,Salaj,Poiana Blenchii,36
Buzas,Salaj,Rus,45
Fantanele-Rus,Salaj,Rus,73.2
Fizes,Salaj,Sag,41
Mal,Salaj,Sag,40
Sag,Salaj,Sag,40
Sarbi,Salaj,Sag,41
Tusa,Salaj,Sag,45
Notig,Salaj,Salatig,33
Simisna,Salaj,Simisna,72
Solona,Salaj,Surduc,45
Testioara,Salaj,Surduc,45
Lazuri,Salaj,Valcau de Jos,45
Preoteasa,Salaj,Valcau de Jos,45
Sub Cetate,Salaj,Valcau de Jos,43
Valcau de Jos,Salaj,Valcau de Jos,40
Valcau de Sus,Salaj,Valcau de Jos,41
Ceaca,Salaj,Zalha,44
Ciureni,Salaj,Zalha,46
Valea Ciurenilor,Salaj,Zalha,50
Valea Hranei,Salaj,Zalha,47
Valea Lunga,Salaj,Zalha,45
Vartesca,Salaj,Zalha,50
Zalha,Salaj,Zalha,47
Dolu,Salaj,Zimbor,41
Sancraiu Almasului,Salaj,Zimbor,45
Acas,Satu Mare,Acas,41
Ganas,Satu Mare,Acas,49
Mihaieni,Satu Mare,Acas,42
Unimat,Satu Mare,Acas,44
Andrid,Satu Mare,Andrid,63
Dindesti,Satu Mare,Andrid,59
Irina,Satu Mare,Andrid,61
Apa,Satu Mare,Apa,27.4
Lunca Apei,Satu Mare,Apa,30.7
Someseni,Satu Mare,Apa,29.5
Gerausa,Satu Mare,Ardud,27
Batarci,Satu Mare,Batarci,47
Comlausa,Satu Mare,Batarci,50
Tamaseni,Satu Mare,Batarci,44
Beltiug,Satu Mare,Beltiug,35
Bolda,Satu Mare,Beltiug,38
Ghirisa,Satu Mare,Beltiug,32
Giungi,Satu Mare,Beltiug,35
Ratesti,Satu Mare,Beltiug,29
Sandra,Satu Mare,Beltiug,33
Berveni,Satu Mare,Berveni,44
Lucaceni,Satu Mare,Berveni,43
Bixad,Satu Mare,Bixad,56
Boinesti,Satu Mare,Bixad,50
Trip,Satu Mare,Bixad,52
Babta,Satu Mare,Bogdand,60
Bogdand,Satu Mare,Bogdand,65
Corund,Satu Mare,Bogdand,60
Ser,Satu Mare,Bogdand,71
Calinesti-Oas,Satu Mare,Calinesti-Oas,43
Coca,Satu Mare,Calinesti-Oas,39
Lechinta,Satu Mare,Calinesti-Oas,45
Pasunea Mare,Satu Mare,Calinesti-Oas,35
Camarzana,Satu Mare,Camarzana,61
Camin,Satu Mare,Camin,42
Ianculesti,Satu Mare,Carei,45
Ady Endre,Satu Mare,Cauas,45
Cauas,Satu Mare,Cauas,51
Ghenci,Satu Mare,Cauas,43
Ghilesti,Satu Mare,Cauas,55
Hotoan,Satu Mare,Cauas,55
Radulesti,Satu Mare,Cauas,48
Cehal,Satu Mare,Cehal,69
Cehalut,Satu Mare,Cehal,63
Orbau,Satu Mare,Cehal,68
Certeze,Satu Mare,Certeze,57
Moiseni,Satu Mare,Certeze,60
Berea,Satu Mare,Ciumesti,49
Ciumesti,Satu Mare,Ciumesti,50
Viisoara,Satu Mare,Ciumesti,52
Craidorolt,Satu Mare,Craidorolt,35
Criseni,Satu Mare,Craidorolt,32
Eriu-Sancrai,Satu Mare,Craidorolt,41
Satu Mic,Satu Mare,Craidorolt,40
Teghea,Satu Mare,Craidorolt,39
Crucisor,Satu Mare,Crucisor,44
Iegheriste,Satu Mare,Crucisor,44
Poiana Codrului,Satu Mare,Crucisor,48
Caraseu,Satu Mare,Culciu,22
Culciu,Satu Mare,Culciu,19
Culciu Mare,Satu Mare,Culciu,19
Culciu Mic,Satu Mare,Culciu,17
Lipau,Satu Mare,Culciu,26
Foieni,Satu Mare,Foieni,44
Gherta Mica,Satu Mare,Gherta Mica,43
Halmeu-VII,Satu Mare,Halmeu,43.3
Giurtelecu Hododului,Satu Mare,Hodod,77
Hodod,Satu Mare,Hodod,72
Lelei,Satu Mare,Hodod,75
Nadisu Hododului,Satu Mare,Hodod,70
Chilia,Satu Mare,Homoroade,32
Homoroade,Satu Mare,Homoroade,32
Homorodu de Jos,Satu Mare,Homoroade,28
Homorodu de Mijloc,Satu Mare,Homoroade,32
Homorodu de Sus,Satu Mare,Homoroade,33
Necopoi,Satu Mare,Homoroade,25
Solduba,Satu Mare,Homoroade,36
Medies-Raturi,Satu Mare,Mediesu Aurit,29.3
Medies-VII,Satu Mare,Mediesu Aurit,34.6
Bercu Nou,Satu Mare,Micula,19.4
Ghilvaci,Satu Mare,Moftin,28
Ghirolt,Satu Mare,Moftin,37
Istrau,Satu Mare,Moftin,35
Moftinu Mare,Satu Mare,Moftin,28
Sanmiclaus,Satu Mare,Moftin,33
Negresti-Oas,Satu Mare,Negresti-Oas,52.2
Berindan,Satu Mare,Odoreu,13
Orasu Nou,Satu Mare,Orasu Nou,40.2
Orasu Nou-VII,Satu Mare,Orasu Nou,45
Prilog,Satu Mare,Orasu Nou,44
Prilog-VII,Satu Mare,Orasu Nou,44
Remetea Oasului,Satu Mare,Orasu Nou,45
Ruseni,Satu Mare,Paulesti,14
Dindestiu Mic,Satu Mare,Petresti,54
Petresti,Satu Mare,Petresti,48
Piscolt,Satu Mare,Piscolt,55
Resighea,Satu Mare,Piscolt,58
Scarisoara Noua,Satu Mare,Piscolt,63
Aciua,Satu Mare,Pomi,46
Bicau,Satu Mare,Pomi,43
Borlesti,Satu Mare,Pomi,44
Pomi,Satu Mare,Pomi,40
Cidreag,Satu Mare,Porumbesti,39.7
Porumbesti,Satu Mare,Porumbesti,37.9
Racsa,Satu Mare,Racsa,44
Racsa-VII,Satu Mare,Racsa,41
Chegea,Satu Mare,Sacaseni,68
Sacaseni,Satu Mare,Sacaseni,66
Horea,Satu Mare,Sanislau,62
Marna Noua,Satu Mare,Sanislau,44
Sanislau,Satu Mare,Sanislau,54
Chereusa,Satu Mare,Santau,67
Santau,Satu Mare,Santau,61
Sudurau,Satu Mare,Santau,65
Cean,Satu Mare,Sauca,61
Chisau,Satu Mare,Sauca,70
Sauca,Satu Mare,Sauca,61
Silvas,Satu Mare,Sauca,59
Cuta,Satu Mare,Socond,41
Hodisa,Satu Mare,Socond,40
Socond,Satu Mare,Socond,35
Soconzel,Satu Mare,Socond,42
Dobra,Satu Mare,Supur,47
Giorocuta,Satu Mare,Supur,54
Hurezu Mare,Satu Mare,Supur,53
Racova,Satu Mare,Supur,57
Secheresa,Satu Mare,Supur,53
Supur,Satu Mare,Supur,48
Supuru de Jos,Satu Mare,Supur,47
Supuru de Sus,Satu Mare,Supur,52
Bocicau,Satu Mare,Tarna Mare,55
Tarna Mare,Satu Mare,Tarna Mare,56
Vagas,Satu Mare,Tarna Mare,61
Valea Seaca,Satu Mare,Tarna Mare,53
Aliceni,Satu Mare,Tarsolt,59
Tarsolt,Satu Mare,Tarsolt,58
Blaja,Satu Mare,Tasnad,57
Cig,Satu Mare,Tasnad,47
Ratiu,Satu Mare,Tasnad,59
Sarauad,Satu Mare,Tasnad,57
Tasnad,Satu Mare,Tasnad,54
Valea Morii,Satu Mare,Tasnad,58
Aliza,Satu Mare,Terebesti,28
Gelu,Satu Mare,Terebesti,23
Piscari,Satu Mare,Terebesti,30
Terebesti,Satu Mare,Terebesti,22
Portita,Satu Mare,Tiream,52
Tiream,Satu Mare,Tiream,45
Vezendiu,Satu Mare,Tiream,50
Gherta Mare,Satu Mare,Turt,39
Turt,Satu Mare,Turt,44
Turt-Bai,Satu Mare,Turt,51
Marius,Satu Mare,Valea Vinului,37
Rosiori,Satu Mare,Valea Vinului,35
Sai,Satu Mare,Valea Vinului,31
Valea Vinului,Satu Mare,Valea Vinului,31
Vama,Satu Mare,Vama,50
Medisa,Satu Mare,Viile Satu Mare,28
Tataresti,Satu Mare,Viile Satu Mare,20
Tireac,Satu Mare,Viile Satu Mare,23
Agnita,Sibiu,Agnita,62
Coves,Sibiu,Agnita,64
Ruja,Sibiu,Agnita,69
Alma,Sibiu,Alma,69
Giacas,Sibiu,Alma,73
Smig,Sibiu,Alma,70
Altina,Sibiu,Altana,44
Benesti,Sibiu,Altana,44
Ghijasa de Sus,Sibiu,Altana,44
Apoldu de Jos,Sibiu,Apoldu de Jos,36
Sangatin,Sibiu,Apoldu de Jos,40
Arpasu de Jos,Sibiu,Arpasu de Jos,50
Arpasu de Sus,Sibiu,Arpasu de Jos,55
Nou Roman,Sibiu,Arpasu de Jos,53
Atel,Sibiu,Atel,71
Dupus,Sibiu,Atel,72
Sacadate,Sibiu,Avrig,0
Axente Sever,Sibiu,Axente Sever,41
Apos,Sibiu,Barghis,57
Barghis,Sibiu,Barghis,53
Ighisu Vechi,Sibiu,Barghis,52
Pelisor,Sibiu,Barghis,64
Zlagna,Sibiu,Barghis,69
Lazaret,Sibiu,Boita,35
Lotrioara,Sibiu,Boita,39
Paltin,Sibiu,Boita,38
Bradeni,Sibiu,Bradeni,82
Retis,Sibiu,Bradeni,87
Teline,Sibiu,Bradeni,94
Curciu,Sibiu,Darlos,21
Valea Lunga,Sibiu,Darlos,37
Hoghilag,Sibiu,Hoghilag,81
Prod,Sibiu,Hoghilag,86
Valchid,Sibiu,Hoghilag,51
Floresti,Sibiu,Laslea,57
Laslea,Sibiu,Laslea,51
Malancrav,Sibiu,Laslea,63
Nou Sasesc,Sibiu,Laslea,64
Roandola,Sibiu,Laslea,57
Alamor,Sibiu,Loamnes,30
Hasag,Sibiu,Loamnes,31
Ludos,Sibiu,Ludos,43
Ilimbav,Sibiu,Marpod,81
Marpod,Sibiu,Marpod,39
Chesler,Sibiu,Micasasa,56
Micasasa,Sibiu,Micasasa,46
Tapu,Sibiu,Micasasa,44
Valeni,Sibiu,Micasasa,52
Apoldu de Sus,Sibiu,Miercurea Sibiului,29
Dobarca,Sibiu,Miercurea Sibiului,35
Miercurea Sibiului,Sibiu,Miercurea Sibiului,34
Fofeldea,Sibiu,Nocrich,39
Ghijasa de Jos,Sibiu,Nocrich,47
Hosman,Sibiu,Nocrich,33
Nocrich,Sibiu,Nocrich,39
Tichindeal,Sibiu,Nocrich,41
Pauca,Sibiu,Pauca,48
Presaca,Sibiu,Pauca,45
Porumbacu de Jos,Sibiu,Porumbacu de Jos,36
Porumbacu de Sus,Sibiu,Porumbacu de Jos,42
Racovita,Sibiu,Racovita,29
Sebesu de Sus,Sibiu,Racovita,31
Cornatel,Sibiu,Rosia,23
Daia,Sibiu,Rosia,14
Sadu,Sibiu,Sadu,19
Aciliu,Sibiu,Saliste,25
Amnas,Sibiu,Saliste,29
Crint,Sibiu,Saliste,33
Fantanele,Sibiu,Saliste,20
Gales,Sibiu,Saliste,23
Mag,Sibiu,Saliste,20
Seica Mare,Sibiu,Seica Mare,32
Seica Mica,Sibiu,Seica Mica,38
Albi,Sibiu,Slimnic,49
Padureni,Sibiu,Slimnic,23
Rod,Sibiu,Tilisca,32
Tilisca,Sibiu,Tilisca,24
Motis,Sibiu,Valea Viilor,57
Valea Viilor,Sibiu,Valea Viilor,50
Vurpar,Sibiu,Vurpar,32
Clit,Suceava,Arbore,51
Bilca,Suceava,Bilca,54
Budeni,Suceava,Dolhasca,51
Dolhasca,Suceava,Dolhasca,49
Gulia,Suceava,Dolhasca,25
Poiana,Suceava,Dolhasca,53
Poienari,Suceava,Dolhasca,54
Probota,Suceava,Dolhasca,45
Silistea Noua,Suceava,Dolhasca,32
Valea Poienei,Suceava,Dolhasca,43
Brosteni,Suceava,Draguseni,62.5
Tolesti,Suceava,Forasti,56
Uidesti,Suceava,Forasti,56
Plutonita,Suceava,Frasin,52
Costisa,Suceava,Fratautii Noi,52
Deia,Suceava,Frumosu,63
Dragosa,Suceava,Frumosu,68
Frumosu,Suceava,Frumosu,62
Iesle,Suceava,Malini,59
Valeni-Stanisoara,Suceava,Malini,52
Poiana Micului,Suceava,Manastirea Humorului,57
Moldovita,Suceava,Moldovita,73
Bainet,Suceava,Musenita,53
Climauti,Suceava,Musenita,55
Ostra,Suceava,Ostra,65
Tarnicioara,Suceava,Ostra,63
Gura Putnei,Suceava,Putna,67
Putna,Suceava,Putna,67
Gainesti,Suceava,Slatina,54
Straja,Suceava,Straja,69
Gemenea,Suceava,Stulpicani,56
Negrileasa,Suceava,Stulpicani,62
Slatioara,Suceava,Stulpicani,65
Stulpicani,Suceava,Stulpicani,56
Vadu Negrilesei,Suceava,Stulpicani,66
Sucevita,Suceava,Sucevita,54
Voievodeasa,Suceava,Sucevita,52
Molid,Suceava,Vama,53
Prisaca Dornei,Suceava,Vama,61
Stramtura,Suceava,Vama,58
Vama,Suceava,Vama,57
Vatra Moldovitei,Suceava,Vatra Moldovitei,70
Vicovu de Jos,Suceava,Vicovu de Jos,56
Bivolaria,Suceava,Vicovu de Sus,58
Vicovu de Sus,Suceava,Vicovu de Sus,63
Voitinel,Suceava,Voitinel,53
Brosteni,Suceava,Brosteni,62.5
Barsestii de Jos,Teleorman,Beciu,71
Beciu,Teleorman,Beciu,70
Smardan,Teleorman,Beciu,70
Bujoru,Teleorman,Calmatuiu,56
Calmatuiu,Teleorman,Calmatuiu,54
Caravaneti,Teleorman,Calmatuiu,52
Nicolae Balcescu,Teleorman,Calmatuiu,58
Bacalesti,Teleorman,Calmatuiu de Sus,57
Calmatuiu de Sus,Teleorman,Calmatuiu de Sus,52
Ionascu,Teleorman,Calmatuiu de Sus,54
Balta Sarata,Teleorman,Crangeni,51
Crangeni,Teleorman,Crangeni,53
Dorobantu,Teleorman,Crangeni,54
Stejaru,Teleorman,Crangeni,54
Lunca,Teleorman,Lunca,61
Prundu,Teleorman,Lunca,67
Pietrosani,Teleorman,Pietrosani,44
Brancoveanca,Teleorman,Plopii-Slavitesti,67
Dudu,Teleorman,Plopii-Slavitesti,67
Plopii-Slavitesti,Teleorman,Plopii-Slavitesti,65
Pleasov,Teleorman,Saelele,63
Saelele,Teleorman,Saelele,65
Olteanca,Teleorman,Segarcea-Vale,59
Segarcea-Deal,Teleorman,Segarcea-Vale,60
Segarcea-Vale,Teleorman,Segarcea-Vale,57
Slobozia Mandra,Teleorman,Slobozia Mandra,70
Uda-Clocociov,Teleorman,Uda-Clocociov,69
Uda-Paciurea,Teleorman,Uda-Clocociov,67
Fadimac,Timis,Balint,22
Banloc,Timis,Banloc,50
Ofsenita,Timis,Banloc,53
Partos,Timis,Banloc,56
Soca,Timis,Banloc,51
Bara,Timis,Bara,28
Dobresti,Timis,Bara,35
Lapusnic,Timis,Bara,33
Radmanesti,Timis,Bara,32
Spata,Timis,Bara,32
Beba Veche,Timis,Beba Veche,99
Cherestur,Timis,Beba Veche,91
Pordeanu,Timis,Beba Veche,93
Berecuta,Timis,Birda,47
Manastire,Timis,Birda,46
Sangeorge,Timis,Birda,47
Altringen,Timis,Bogda,47.5
Bogda,Timis,Bogda,49.4
Buzad,Timis,Bogda,49.6
Charlotenburg,Timis,Bogda,44.7
Comeat,Timis,Bogda,54
Sintar,Timis,Bogda,51
Brestovat,Timis,Brestovat,39
Cosarii,Timis,Brestovat,47
Hodos,Timis,Brestovat,42
Lucaret,Timis,Brestovat,35
Tes,Timis,Brestovat,37
Cenad,Timis,Cenad,74
Cebza,Timis,Ciacova,34
Ciacova,Timis,Ciacova,32.5
Macedonia,Timis,Ciacova,38
Obad,Timis,Ciacova,30.7
Petroman,Timis,Ciacova,37
Comlosu Mare,Timis,Comlosu Mare,58
Comlosu Mic,Timis,Comlosu Mare,52
Lunga,Timis,Comlosu Mare,61
Cosava,Timis,Curtea,45
Curtea,Timis,Curtea,45
Homojdia,Timis,Curtea,49
Sacosu Mare,Timis,Darova,22
Brestea,Timis,Denta,50
Denta,Timis,Denta,47
Rovinita Mare,Timis,Denta,52
Rovinita Mica,Timis,Denta,56
Opatita,Timis,Deta,44.7
Cheglevici,Timis,Dudestii Vechi,87
Colonia Bulgara,Timis,Dudestii Vechi,88
Dudestii Vechi,Timis,Dudestii Vechi,79
Bucovat,Timis,Dumbrava,33
Branesti,Timis,Faget,42
Bunea Mare,Timis,Faget,46
Bunea Mica,Timis,Faget,33
Jupanesti,Timis,Faget,45
Povargina,Timis,Faget,40
Dragsinesti,Timis,Fardea,40
Fardea,Timis,Fardea,34
Gladna Montana,Timis,Fardea,38
Gladna Romana,Timis,Fardea,40
Hauzesti,Timis,Fardea,37
Matnicu Mic,Timis,Fardea,37
Zolt,Timis,Fardea,43
Fibis,Timis,Fibis,32.7
Cruceni,Timis,Foeni,45
Foeni,Timis,Foeni,41
Gataia,Timis,Gataia,55
Sculia,Timis,Gataia,52.6
Gad,Timis,Ghilad,47
Ghilad,Timis,Ghilad,38
Paniova,Timis,Ghizela,31
Giera,Timis,Giera,58
Granicerii,Timis,Giera,49
Toager,Timis,Giera,56
Crai Nou,Timis,Giulvaz,38
Giulvaz,Timis,Giulvaz,31
Ivanda,Timis,Giulvaz,33
Rudna,Timis,Giulvaz,37
Gottlob,Timis,Gottlob,54
Vizejdia,Timis,Gottlob,58
Dolat,Timis,Livezile,62
Livezile,Timis,Livezile,57
Padurani,Timis,Manastiur,34
Remetea-Lunca,Timis,Manastiur,31
Topla,Timis,Manastiur,36
Breazova,Timis,Margina,44
Bulza,Timis,Margina,57
Cosevita,Timis,Margina,52
Costeiu de Sus,Timis,Margina,51
Grosi,Timis,Margina,50
Nemesesti,Timis,Margina,47
Zorani,Timis,Margina,44
Alios,Timis,Masloc,42.3
Masloc,Timis,Masloc,36.7
Remetea Mica,Timis,Masloc,40.8
Nadrag,Timis,Nadrag,36
Dubesti,Timis,Ohaba Lunga,42
Iersnic,Timis,Ohaba Lunga,36
Ohaba Lunga,Timis,Ohaba Lunga,38
Ohaba Romana,Timis,Ohaba Lunga,44
Seceani,Timis,Ortisoara,0
Iohanisfeld,Timis,Otelec,49
Otelec,Timis,Otelec,43
Dinias,Timis,Peciu Nou,22.8
Peciu Nou,Timis,Peciu Nou,22.1
Sanmartinu Sarbesc,Timis,Peciu Nou,30
Periam,Timis,Periam,51
Pesac,Timis,Pesac,49.4
Crivina de Sus,Timis,Pietroasa,59
Farasesti,Timis,Pietroasa,54
Pietroasa,Timis,Pietroasa,54
Poieni,Timis,Pietroasa,65
Bencecu de Jos,Timis,Pischia,30.8
Bencecu de Sus,Timis,Pischia,27.6
Murani,Timis,Pischia,26.1
Pischia,Timis,Pischia,22.2
Salciua Noua,Timis,Pischia,39.8
Herneacova,Timis,Recas,34.3
Nadas,Timis,Recas,40.5
Petrovaselo,Timis,Recas,35.1
Stanciova,Timis,Recas,37.8
Sannicolau Mare,Timis,Sannicolau Mare,67
Igris,Timis,Sanpetru Mare,63
Sanpetru Mare,Timis,Sanpetru Mare,55
Saravale,Timis,Saravale,64
Cheches,Timis,Secas,40
Crivobara,Timis,Secas,40
Secas,Timis,Secas,37
Vizma,Timis,Secas,43
Nerau,Timis,Teremia Mare,72
Teremia Mare,Timis,Teremia Mare,68
Teremia Mica,Timis,Teremia Mare,72
Balosesti,Timis,Tomesti,48
Colonia Fabricii,Timis,Tomesti,55
Luncanii de Jos,Timis,Tomesti,62
Luncanii de Sus,Timis,Tomesti,49
Romanesti,Timis,Tomesti,48
Tomesti,Timis,Tomesti,52
Tomnatic,Timis,Tomnatic,57
Cralovat,Timis,Topolovatu Mare,35
Pustinis,Timis,Uivar,41
Rauti,Timis,Uivar,38
Sanmartinu Maghiar,Timis,Uivar,35
Uivar,Timis,Uivar,35
Valcani,Timis,Valcani,82
Visag,Timis,Victor Vlad Delamarina,24
Baia,Tulcea,Baia,56
Camena,Tulcea,Baia,59
Caugagia,Tulcea,Baia,53
Ceamurlia de Sus,Tulcea,Baia,57
Panduru,Tulcea,Baia,61
Beidaud,Tulcea,Beidaud,63
Neatarnarea,Tulcea,Beidaud,68
Sarighiol de Deal,Tulcea,Beidaud,70
Baltenii de Sus,Tulcea,Bestepe,25
Carcaliu,Tulcea,Carcaliu,85
Casimcea,Tulcea,Casimcea,81
Cismeaua Noua,Tulcea,Casimcea,68
Corugea,Tulcea,Casimcea,79
Haidar,Tulcea,Casimcea,72
Rahman,Tulcea,Casimcea,68
Razboieni,Tulcea,Casimcea,88
Stanca,Tulcea,Casimcea,84
Ceamurlia de Jos,Tulcea,Ceamurlia de Jos,55
Lunca,Tulcea,Ceamurlia de Jos,59
General Praporgescu,Tulcea,Cerna,44
Atmagea,Tulcea,Ciucurova,46
Fantana Mare,Tulcea,Ciucurova,51
Cataloi,Tulcea,Frecatei,12
Frecatei,Tulcea,Frecatei,18
Posta,Tulcea,Frecatei,22
Telita,Tulcea,Frecatei,27
Balabancea,Tulcea,Hamcearca,44
Caprioara,Tulcea,Hamcearca,50
Hamcearca,Tulcea,Hamcearca,50
Nifon,Tulcea,Hamcearca,55
Closca,Tulcea,Horia,40
Floresti,Tulcea,Horia,42
Horia,Tulcea,Horia,38
Alba,Tulcea,Izvoarele,35
Iulia,Tulcea,Izvoarele,35
Izvoarele,Tulcea,Izvoarele,32
Garvan,Tulcea,Jijila,66
Jijila,Tulcea,Jijila,71
Jurilovca,Tulcea,Jurilovca,57
Salcioara,Tulcea,Jurilovca,52
Visina,Tulcea,Jurilovca,59
Luncavita,Tulcea,Luncavita,55
Rachelu,Tulcea,Luncavita,51
Mihai Bravu,Tulcea,Mihai Bravu,38
Satu Nou,Tulcea,Mihai Bravu,35
Turda,Tulcea,Mihai Bravu,34
Lastuni,Tulcea,Mihail Kogalniceanu,22
Mihail Kogalniceanu,Tulcea,Mihail Kogalniceanu,18
Randunica,Tulcea,Mihail Kogalniceanu,25
Colina,Tulcea,Murighiol,34
Dunavatu de Jos,Tulcea,Murighiol,48
Dunavatu de Sus,Tulcea,Murighiol,46
Murighiol,Tulcea,Murighiol,40
Sarinasuf,Tulcea,Murighiol,37
Nalbant,Tulcea,Nalbant,25
Nicolae Balcescu,Tulcea,Nalbant,30
Trestenic,Tulcea,Nalbant,27
Niculitel,Tulcea,Niculitel,30
Malcoci,Tulcea,Nufaru,11
Nufaru,Tulcea,Nufaru,15
Victoria,Tulcea,Nufaru,19
Visterna,Tulcea,Sarichioi,41
Slava Rusa,Tulcea,Slava Cercheza,50
Parches,Tulcea,Somova,21
Calfa,Tulcea,Topolog,64
Cerbu,Tulcea,Topolog,63
Fagarasu Nou,Tulcea,Topolog,65
Luminita,Tulcea,Topolog,59
Magurele,Tulcea,Topolog,71
Sambata Noua,Tulcea,Topolog,61
Topolog,Tulcea,Topolog,56
Turcoaia,Tulcea,Turcoaia,69
Vacareni,Tulcea,Vacareni,63
Valea Teilor,Tulcea,Valea Teilor,41
Albesti,Vaslui,Albesti,66
Alexandru Vlahuta,Vaslui,Alexandru Vlahuta,44.3
Buda,Vaslui,Alexandru Vlahuta,38.7
Ghicani,Vaslui,Alexandru Vlahuta,48
Morareni,Vaslui,Alexandru Vlahuta,33.7
Bacani,Vaslui,Bacani,56
Drujesti,Vaslui,Bacani,55
Vulpaseni,Vaslui,Bacani,52
Armaseni,Vaslui,Bacesti,51
Babusa,Vaslui,Bacesti,55
Bacesti,Vaslui,Bacesti,53
Paltinis,Vaslui,Bacesti,56
Tibanestii Buhlii,Vaslui,Bacesti,54
Vovriesti,Vaslui,Bacesti,59
Miclesti,Vaslui,Banca,52
Tifu,Vaslui,Banca,51
Musata,Vaslui,Berezeni,65
Orgoiesti,Vaslui,Bogdanesti,60
Ulea,Vaslui,Bogdanesti,51
Vladesti,Vaslui,Bogdanesti,56
Armaseni,Vaslui,Bunesti-Averesti,51
Averesti,Vaslui,Bunesti-Averesti,60
Bunesti,Vaslui,Bunesti-Averesti,53
Bunesti-Averesti,Vaslui,Bunesti-Averesti,53
Plopi,Vaslui,Bunesti-Averesti,60
Rosiori,Vaslui,Bunesti-Averesti,56
Tabalaiesti,Vaslui,Bunesti-Averesti,62
Ciocani,Vaslui,Ciocani,65
